site_id,latitude,longitude,utm_x,utm_y,pop_covered,pop_unique_covered,status,bts_type,overlap_ratio_network,total_unique_pop_network,elevation_m,slope_deg,neighbour_weight,dist_to_school_m,dist_to_hospital_m,dist_to_road_m,dist_to_residential_m,dist_to_industrial_m,site_accessibility_score,antenna_height_m,power_model_type,power_source_main,power_backup_sources,backup_duration_hr,region_type,coverage_radius_m
BTS_04407,16.457083603504987,107.769582182255,795736.2650780019,1821522.557085524,9039.29,0.0,active,4G_remote,81.11014941020885,1163364.75,9,89.97878,0,11828.83646758854,15387.869507219537,15.901118479945325,5634.71240213191,4691.20431596749,0.9920494407600272,31.4,Model_2,grid,battery;generator,28,mountain,2500
BTS_03616,16.36458360387498,107.71874884912502,790442.2087653709,1811206.8211574769,19123.0,0.0,active,4G_remote,81.11014941020885,1163364.75,4,89.99168,0,2181.662524915556,14476.80285681593,58.20562789451241,904.1518360058686,2555.803984317233,0.9708971860527438,30.1,Model_2,grid,battery;generator,28,mountain,2500
BTS_05987,16.34875027060498,107.507082183305,767838.8636130842,1809163.035863068,5558.56,0.0,active,4G_remote,81.11014941020885,1163364.75,17,89.995895,0,14689.342444036429,14879.602629611636,73.76874040008703,9983.839809625482,11696.882322979842,0.9631156297999564,38.6,Model_2,grid,battery;generator,28,mountain,2500
BTS_04240,16.077083605024985,107.487915516715,766154.9947653024,1779062.9428123608,120.44,120.43677520751952,active,4G_remote,81.11014941020885,1163364.75,718,89.998924,0,40129.28320583892,44118.74198712055,25.585999465496748,9129.972537542082,37421.61912392327,0.9872070002672516,32.2,Model_2,grid,battery;generator,28,mountain,2500
BTS_05654,16.398750270404967,107.817082182065,800901.6378010142,1815133.3450385933,17204.4,0.0,active,4G_remote,81.11014941020885,1163364.75,9,89.99,0,8688.983132168469,21541.76082222613,51.12879306668259,9306.6956840888,11212.995013483374,0.9744356034666588,30.4,Model_2,grid,battery;generator,28,mountain,2500
BTS_03926,16.35375027058499,107.482082183405,765159.8628093615,1809683.7956118484,3381.44,0.2954260110855102,active,4G_remote,81.11014941020885,1163364.75,36,89.98499,0,15676.32377040957,15881.64020367016,70.26123313575846,7551.099912993054,12508.91377030084,0.9648693834321208,26.1,Model_2,grid,battery;generator,28,mountain,2500
BTS_05033,16.323750270704977,107.780415515545,797096.1462130337,1806774.611422832,14934.71,0.0,active,4G_remote,81.11014941020885,1163364.75,4,89.99555,0,1658.9592161957703,22356.52985774552,10.621287661447278,3227.0107049413555,2867.5518258239786,0.9946893561692765,24.6,Model_2,grid,battery;generator,28,mountain,2500
BTS_06487,16.56625026973498,107.542082183165,771277.2074190489,1833289.167209376,1729.94,0.0,active,5G_macro,81.11014941020885,1163364.75,3,89.982346,0,10212.403274360468,9320.71479024993,13.643037638714455,0.0,8149.041524106519,0.9931784811806428,19.0,Model_1,grid,battery,8,mountain,1000
BTS_03195,16.516250269934982,107.316248850735,747229.6267818395,1827462.7040171952,1213.68,180.95724487304688,active,5G_macro,81.11014941020885,1163364.75,15,89.98576,0,26736.30699483643,13863.943085152076,14.999317314070904,0.0,5764.350534045361,0.9925003413429644,28.1,Model_1,grid,battery,8,mountain,1000
BTS_06057,16.37041693718498,107.705415515845,789008.317421756,1811833.6809958864,13787.37,0.0,active,4G_remote,81.11014941020885,1163364.75,4,89.93634,0,3743.940864508156,13041.076260496053,36.30644185346572,1342.7754641532583,1178.8721559009127,0.9818467790732672,24.7,Model_2,grid,battery;generator,28,mountain,2500
BTS_00678,16.51041693662498,107.556248849775,772868.3982837611,1827126.8943005784,28032.41,0.0,active,4G_remote,81.11014941020885,1163364.75,4,89.97878,5,3850.85147275142,3062.10299166014,2.6845026245449675,630.434794690111,2114.144860225831,0.9986577486877276,35.4,Model_2,grid,battery;generator,28,mountain,2500
BTS_06230,16.394583603754977,107.839582181975,803313.0551444902,1814705.4991546725,16337.16,0.0,active,4G_remote,81.11014941020885,1163364.75,14,89.99281,0,6342.529715771007,23972.69061374823,46.96048384991522,8558.89707191967,8914.778017471835,0.9765197580750424,29.4,Model_2,grid,battery;generator,28,mountain,2500
BTS_03245,16.567083603064983,107.342915517295,750011.7302044887,1833122.792973328,692.47,415.3941650390625,active,5G_macro,81.11014941020885,1163364.75,15,89.99272,0,25575.291141150483,10572.87025553511,19.54624007884133,0.0,3531.5206701959446,0.9902268799605792,26.3,Model_1,grid,battery,8,mountain,1000
BTS_05825,16.291250270834983,108.003748847985,821030.9028637673,1803514.4526037632,7227.67,0.0,active,4G_remote,81.11014941020885,1163364.75,7,89.95974,5,12705.529064257978,10030.888126448175,1.229579864802659,1456.1738896499223,3176.183996634809,0.9993852100675986,28.8,Model_2,grid,battery;generator,28,mountain,2500
BTS_01605,16.43458360518882,107.59023032984425,776605.5473150201,1818777.3696361263,12670.63,0.0,active,5G_macro,81.11014941020885,1163364.75,15,89.98594,0,2862.728604762379,4006.094819623644,24.442778039756792,24.849420720624718,2988.9375057152843,0.9877786109801217,27.6,Model_1,grid,battery,8,mountain,1000
BTS_04879,16.397083603744978,107.662915516015,784426.6921830673,1814726.1760885664,21488.73,0.0,active,4G_remote,81.11014941020885,1163364.75,22,89.97153,0,9149.651728969116,7979.189661470232,59.29684308952985,1153.9312118660814,2727.843819270055,0.9703515784552352,37.2,Model_2,grid,battery;generator,28,mountain,2500
BTS_02270,16.39791693707498,107.785415515525,797518.2173725701,1814994.3141099447,8947.76,0.0,active,4G_remote,81.11014941020885,1163364.75,4,89.95974,0,7047.230787286847,18390.988371357773,27.590790479546104,5920.602785642881,8519.728131045846,0.986204604760227,18.6,Model_2,grid,battery;generator,28,mountain,2500
BTS_04812,16.507916936634984,107.506248849975,767531.6558383965,1826783.0304790123,23041.41,0.0,active,4G_remote,81.11014941020885,1163364.75,4,89.97878,0,7011.607604401645,7343.507575946081,29.05541609523408,555.5006386981386,3719.594816645459,0.985472291952383,25.4,Model_2,grid,battery;generator,28,mountain,2500
BTS_05982,16.178750271284983,107.694582182555,788130.2132433851,1790596.7350400852,3959.86,1086.471923828125,active,4G_remote,81.11014941020885,1163364.75,57,89.983284,0,17757.628829712765,31949.859040093448,30.843015263991173,1972.897276523304,16089.588852215778,0.9845784923680044,33.5,Model_2,grid,battery;generator,28,mountain,2500
BTS_06099,16.46458360347498,107.557082183105,773021.7183674893,1822053.6960663889,20698.3,1358.3675537109375,active,5G_macro,81.11014941020885,1163364.75,4,89.97153,5,1445.2721411803436,1762.5892389265853,1.4885140476879133,20.86128544404204,1788.4876601515657,0.999255742976156,26.4,Model_1,grid,battery,8,mountain,1000
BTS_03015,16.731250269495934,107.39749885046857,755621.1232093475,1851365.2727108076,76.38,0.0,active,5G_small,81.11014941020885,1163364.75,5,89.98847,0,33309.39074751393,20377.952043788075,88.19963998581822,207.9717663573235,14011.373492691097,0.9559001800070908,27.0,Model_1,grid,battery,8,mountain,300
BTS_00831,16.36430582652712,107.53485996057393,770786.6056054088,1810921.987663068,2431.87,0.0,active,4G_remote,81.11014941020885,1163364.75,21,89.981995,0,11912.488998129818,12084.575148116848,36.42818136359968,7837.040069131256,9197.584628355293,0.9817859093182002,27.3,Model_2,grid,battery;generator,28,mountain,2500
BTS_04703,16.38375027046498,107.56791551639502,774292.5405976654,1813119.0865662876,4685.08,0.0,active,4G_remote,81.11014941020885,1163364.75,20,89.978165,5,8786.614912221412,9226.864831295452,1.0955062648601857,5062.603358636357,7190.932818457028,0.99945224686757,33.7,Model_2,grid,battery;generator,28,mountain,2500
BTS_05860,16.49041693670498,107.475415516765,764262.3719524022,1824804.9558175108,1995.65,0.0,active,5G_macro,81.11014941020885,1163364.75,14,89.99138,0,9497.46258698423,7757.691598786966,31.8115446317423,39.7543489710984,3.9587433879072713,0.9840942276841288,21.9,Model_1,grid,battery,8,mountain,1000
BTS_00662,16.145416939173177,107.74041551588452,793083.4757235412,1786970.8005836308,1123.72,31.39773941040039,active,5G_macro,81.11014941020885,1163364.75,72,89.96817,0,19041.29972008375,36882.02974577576,18.76391897033121,0.0,18658.53564057587,0.9906180405148344,27.5,Model_1,grid,battery,8,mountain,1000
BTS_00830,16.199583604534983,107.711248849155,789883.0429991565,1792926.8963640006,3197.95,27.12976455688477,active,4G_remote,81.11014941020885,1163364.75,77,89.995995,0,14847.438610319568,30202.032275277565,48.22613391676112,1506.8611882753455,13411.337116673642,0.9758869330416194,28.9,Model_2,grid,battery;generator,28,mountain,2500
BTS_04871,16.358750270564983,107.15374885138502,730063.2138738353,1809837.2789321975,481.15,408.5177917480469,active,5G_macro,81.11014941020885,1163364.75,662,89.9988,0,45633.79412761553,37376.76697119857,151.57790938528933,117.86185892521,30023.81248118637,0.9242110453073552,24.7,Model_1,grid,battery,8,mountain,1000
BTS_06386,16.333750270664975,107.669582182655,785231.322227645,1807723.27761615,1455.1,0.0,active,4G_remote,81.11014941020885,1163364.75,45,89.99164,0,7549.492250583834,14696.053061855137,37.1256344945125,6912.254846647353,5797.6390038316,0.9814371827527436,36.4,Model_2,grid,battery;generator,28,mountain,2500
BTS_02777,16.528750269884984,107.501248849995,766968.9937893862,1829082.829624772,22423.43,0.0,active,4G_remote,81.11014941020885,1163364.75,6,89.995026,0,8798.593497555601,6959.294906985087,55.94210407280768,1301.3327051142717,3546.7987235501187,0.9720289479635962,26.2,Model_2,grid,battery;generator,28,mountain,2500
BTS_02733,16.07875027168498,107.354582183915,751881.971580236,1779080.3241146046,742.67,261.6317443847656,active,5G_macro,81.11014941020885,1163364.75,630,89.995735,5,48741.50617929556,48932.31127753909,0.3308737865630647,0.0,45703.217400497066,0.9998345631067184,29.5,Model_1,grid,battery,8,mountain,1000
BTS_00101,16.37291693717498,107.722082182445,790786.1700403825,1812134.291919816,4333.6,0.0,active,5G_macro,81.11014941020885,1163364.75,3,89.9852,5,2512.293092386663,14080.131596987016,3.1883592429701944,0.0,2376.0929188448026,0.9984058203785148,23.2,Model_1,grid,battery,8,mountain,1000
BTS_03251,16.536250269854982,107.571248849715,774433.9587359158,1830007.3909634224,19974.44,0.0,active,4G_remote,81.11014941020885,1163364.75,3,89.98576,0,6697.6740209775,5454.240904859114,13.346389160568576,963.6681567717516,5329.41693735881,0.9933268054197156,29.1,Model_2,grid,battery;generator,28,mountain,2500
BTS_05369,16.444583603554978,107.617915516195,779549.3979251407,1819922.6011372083,13545.32,215.85671997070312,active,5G_macro,81.11014941020885,1163364.75,1,89.982346,5,3320.3416760166047,1844.0043566234813,4.044250002268224,0.0,357.1243770806541,0.997977874998866,19.6,Model_1,grid,battery,8,mountain,1000
BTS_03991,16.44625027021498,107.532915516535,770465.4302379803,1819991.4784390244,5777.92,0.0,active,5G_macro,81.11014941020885,1163364.75,5,89.99164,0,4631.661006263181,4893.555098841296,10.842212643193172,37.01860229954563,1740.4449065571823,0.9945788936784036,31.2,Model_1,grid,battery,8,mountain,1000
BTS_03773,16.459583603494977,107.678748849285,786027.3263859274,1821668.5347708876,6964.81,0.0,active,4G_remote,81.11014941020885,1163364.75,6,89.98883,0,8700.848313492997,5679.428739263564,17.506986401215165,3374.350864115117,4131.857611479778,0.9912465067993924,33.7,Model_2,grid,battery;generator,28,mountain,2500
BTS_01542,16.482361381500116,107.6423599609342,782106.5045172479,1824139.273284308,6254.49,0.0,active,5G_macro,81.11014941020885,1163364.75,5,89.93634,0,4639.213220352439,3101.227092013415,30.0666680347632,143.3892375372939,5190.89475366769,0.9849666659826184,26.0,Model_1,grid,battery,8,mountain,1000
BTS_03869,16.41458360367498,107.659582182695,784045.0201774251,1816659.093651056,35570.12,0.0,active,4G_remote,81.11014941020885,1163364.75,14,89.97503,0,8872.40358968154,6158.188895161175,55.02821041366364,674.9235527660612,3914.1315388260273,0.9724858947931682,30.2,Model_2,grid,battery;generator,28,mountain,2500
BTS_05342,16.561250269754986,107.505415516645,767369.1259902682,1832686.4186511,21070.31,0.0,active,4G_remote,81.11014941020885,1163364.75,2,89.98752,0,11246.804275637787,6988.091982319811,34.033711029484785,500.0264845699849,6007.922837606965,0.9829831444852576,30.6,Model_2,grid,battery;generator,28,mountain,2500
BTS_03813,16.55791693643498,107.470415516785,763636.6206940399,1832271.1118911984,2824.87,0.2132399976253509,active,5G_macro,81.11014941020885,1163364.75,6,89.969986,0,13406.01729547052,3242.3796866405537,63.33479406063107,0.0,4040.079529059688,0.9683326029696844,36.1,Model_1,grid,battery,8,mountain,1000
BTS_05973,16.41458360367498,107.667082182665,784846.5137930088,1816669.629539884,14366.98,0.0,active,5G_macro,81.11014941020885,1163364.75,8,89.98883,0,9536.047803232332,6662.390702426302,25.15513207786194,0.0,3310.459330170385,0.987422433961069,21.0,Model_1,grid,battery,8,mountain,1000
BTS_00565,16.43902804917454,107.78972106865692,797915.7142480178,1819552.8639940089,15198.63,0.0,active,4G_remote,81.11014941020885,1163364.75,13,89.981995,0,10888.49115135738,17684.277500305816,66.72451511082316,7704.050810918541,6872.949707451163,0.9666377424445884,31.3,Model_2,grid,battery;generator,28,mountain,2500
BTS_05950,16.26291693761498,107.935415514925,813767.2673439716,1800270.443599392,9567.43,0.0,active,4G_remote,81.11014941020885,1163364.75,8,89.979866,0,5139.486995361852,15597.000111937909,154.25244616572004,5608.840281633578,10137.609506400497,0.92287377691714,30.1,Model_2,grid,battery;generator,28,mountain,2500
BTS_00449,16.373750270504978,107.813748848745,800583.7351383681,1812360.112403028,6184.97,0.0,active,4G_remote,81.11014941020885,1163364.75,9,89.99006,0,7457.534996941419,22238.534402058587,26.18689243609592,8138.900218181478,9028.355302225553,0.986906553781952,30.2,Model_2,grid,battery;generator,28,mountain,2500
BTS_03494,16.473750270104983,107.513748849945,768379.8215540785,1823010.433409345,18703.01,0.0,active,4G_remote,81.11014941020885,1163364.75,8,89.98847,5,5280.135925096208,6339.639139184702,3.996620416493335,384.7653321235673,3578.990132574493,0.9980016897917532,29.7,Model_2,grid,battery;generator,28,mountain,2500
BTS_03132,16.28625027085498,107.697082182545,788240.966978139,1802502.7523304084,1784.51,0.0,active,4G_remote,81.11014941020885,1163364.75,31,89.98818,0,8037.033020305093,20649.505266695352,40.079198813093605,6182.932284001709,5217.847275828563,0.9799604005934532,26.8,Model_2,grid,battery;generator,28,mountain,2500
BTS_03067,16.40625027037498,107.647915516075,782810.315838431,1815720.1078141,21824.6,0.0,active,4G_remote,81.11014941020885,1163364.75,15,89.99,0,8522.738133670338,6360.109901623836,37.75593959455978,1834.872686004123,4388.14947952129,0.9811220302027202,25.1,Model_2,grid,battery;generator,28,mountain,2500
BTS_03677,16.297083604144976,107.394582183755,755881.3131357973,1803298.6767748168,551.45,11.272823333740234,active,5G_macro,81.11014941020885,1163364.75,238,89.99195,0,26597.513539446794,26810.80809704259,11.248254309782528,6.304661576019512,22438.116310926587,0.9943758728451088,29.7,Model_1,grid,battery,8,mountain,1000
BTS_00963,16.39875027040498,107.772915515575,796180.9101705602,1815068.2779962728,9319.29,0.0,active,4G_remote,81.11014941020885,1163364.75,7,89.9921,0,6196.478677467046,17120.89746435457,30.053205845250734,4587.248439583445,7513.544530094531,0.9849733970773746,32.1,Model_2,grid,battery;generator,28,mountain,2500
BTS_03215,16.314583604074976,107.778748848885,796931.7821687827,1805757.171973171,14807.24,0.0,active,4G_remote,81.11014941020885,1163364.75,5,89.98576,0,1118.034456245105,22923.94921169136,121.58662805809467,3363.289685808059,2522.782028522361,0.9392066859709528,30.7,Model_2,grid,battery;generator,28,mountain,2500
BTS_00140,16.476401789523962,107.55575642748624,772863.5284126615,1823360.3231392903,19011.34,2465.850341796875,active,5G_macro,81.11014941020885,1163364.75,8,89.95974,0,785.1267256493534,2040.5841857436328,7.880200906413533,0.0,1361.5135322917122,0.9960598995467932,23.8,Model_1,grid,battery,8,mountain,1000
BTS_04043,16.47541693676497,107.625415516165,780306.3907952313,1823346.7756161736,1963.69,0.0,active,5G_macro,81.11014941020885,1163364.75,2,89.981995,5,2793.71859170135,1762.824822633114,2.860239159906364,131.10856138450708,3759.871849990308,0.9985698804200468,21.2,Model_1,grid,battery,8,mountain,1000
BTS_04914,16.504305825971773,107.6223599602201,779938.3849786383,1826541.0369683467,3808.11,0.0,active,5G_macro,81.11014941020885,1163364.75,5,89.93634,5,3909.9596381459487,4973.522162347311,1.5527820187719297,0.0,3264.7289849315166,0.999223608990614,19.0,Model_1,grid,battery,8,mountain,1000
BTS_04485,16.525139159215545,107.31735996144022,747336.9550317869,1828448.035446616,1007.29,216.05221557617188,active,5G_macro,81.11014941020885,1163364.75,14,89.98658,0,26799.89906248199,13499.988475192791,26.934363018361932,21.044390010756025,5339.849792867452,0.9865328184908192,26.4,Model_1,grid,battery,8,mountain,1000
BTS_04663,16.497083603760778,107.47749885015064,764475.8284207224,1825545.7340286304,3137.28,0.0,active,5G_macro,81.11014941020885,1163364.75,12,89.97153,0,9430.57925477872,7236.584857553269,34.62294537741118,0.0,650.4724266890117,0.9826885273112944,25.9,Model_1,grid,battery,8,mountain,1000
BTS_06040,16.39458360375498,107.619582182855,779799.0691634454,1814389.074500674,4651.29,0.0,active,4G_remote,81.11014941020885,1163364.75,10,89.98908,0,7937.325221959166,7216.32777146695,126.88926528320238,3509.024042435836,4691.749225639122,0.9365553673583988,28.1,Model_2,grid,battery;generator,28,mountain,2500
BTS_05553,16.494583603354982,107.483748850065,765146.7845391033,1825277.1777367464,3521.32,0.0,active,5G_macro,81.11014941020885,1163364.75,8,89.9852,0,8716.239966783714,7842.360656186467,19.083781356283502,1.619641469527802,907.1334488018103,0.9904581093218584,22.2,Model_1,grid,battery,8,mountain,1000
BTS_00245,16.447916937200898,107.57562384960936,775026.0643878046,1820233.6313487417,27776.56,0.0,active,5G_macro,81.11014941020885,1163364.75,21,89.98714,0,2000.5272503199683,2116.9255716269936,12.533844193575536,0.0,2599.491927052956,0.9937330779032122,20.4,Model_1,grid,battery,8,mountain,1000
BTS_03660,16.348750270604974,107.141248851435,728739.0894093412,1808716.3354035288,1220.63,386.41705322265625,active,5G_macro,81.11014941020885,1163364.75,609,89.984085,0,47235.42431120316,39106.09371213104,119.05718350054896,0.0,31758.22769089238,0.9404714082497256,25.0,Model_1,grid,battery,8,mountain,1000
BTS_01269,16.4495836035548,107.56624884955508,774022.0894734445,1820405.418423756,14732.75,0.0,active,5G_macro,81.11014941020885,1163364.75,24,89.98727,5,1893.0344955448072,2065.6082212391807,4.03918547170407,0.0,1608.0129457090736,0.997980407264148,23.9,Model_1,grid,battery,8,mountain,1000
BTS_02283,16.49291693669498,107.655415516045,783485.8135441483,1825326.2906946824,522.32,0.0,active,5G_macro,81.11014941020885,1163364.75,0,0.0,5,6251.572511790151,4883.026738491311,3.2208213413586,0.0,6294.652242466686,0.9983895893293206,26.8,Model_1,grid,battery,8,urban,1000
BTS_06427,16.562916936414975,107.537082183185,770748.0020597142,1832913.3764175323,1696.18,0.0,active,5G_macro,81.11014941020885,1163364.75,3,89.98847,0,9987.9308048301,9174.594688290135,16.355249088951325,23.49137087055249,7845.420038667446,0.9918223754555244,21.1,Model_1,grid,battery,8,mountain,1000
BTS_05853,16.570416936384984,107.46041551682502,762551.9390136022,1833641.839788976,1760.65,123.93965911865234,active,5G_macro,81.11014941020885,1163364.75,6,89.95974,0,15130.666135948471,2935.018540893693,96.22971793874623,79.71742934305237,4191.693858363166,0.9518851410306268,22.5,Model_1,grid,battery,8,mountain,1000
BTS_01364,16.42208360364498,107.594582182955,777088.2780119665,1817399.3902436644,30434.19,0.0,active,4G_remote,81.11014941020885,1163364.75,27,89.99307,0,4284.02960395014,5305.086166527332,69.00465433791896,876.5574433543821,3105.61503461971,0.9654976728310404,31.8,Model_2,grid,battery;generator,28,mountain,2500
BTS_01633,16.272916937574976,107.93791551491502,814018.7707926274,1801381.692766438,8822.01,0.0,active,4G_remote,81.11014941020885,1163364.75,11,89.97503,0,5419.278030339274,15580.902794929883,31.29077833709024,4657.6577138175135,9153.012071818272,0.9843546108314548,28.5,Model_2,grid,battery;generator,28,mountain,2500
BTS_04028,16.3254169377771,107.732498849137,791970.3028732132,1806889.8206961744,1132.35,227.58721923828125,active,5G_macro,81.11014941020885,1163364.75,22,89.99477,0,2798.0790633998727,18734.943074224288,63.86160188662788,714.0046305589065,0.0,0.968069199056686,29.8,Model_2,grid,battery;generator,28,mountain,1000
BTS_01668,16.430083604294897,107.5995821828619,777611.190767528,1818291.963447205,64941.34,0.0,active,4G_remote,81.11014941020885,1163364.75,16,89.982346,0,3533.332370245363,4281.759867949301,62.34818693018008,479.7582818333519,2203.216009524763,0.96882590653491,19.3,Model_2,grid,battery;generator,28,mountain,2500
BTS_00017,16.475302879921582,107.56800849429013,774173.8977826093,1823255.2684416308,38283.3,0.0,active,5G_macro,81.11014941020885,1163364.75,6,0.0,5,534.8109996806432,1092.904509379318,1.4152783874307089,0.0,2291.3394470063654,0.9992923608062848,20.2,Model_1,grid,battery,8,urban,1000
BTS_00149,16.563750269744983,107.454582183515,761938.1612184687,1832896.1769090877,1872.56,1.558074951171875,active,5G_macro,81.11014941020885,1163364.75,8,89.98883,0,15104.69966578755,1976.3724743355135,29.36427416346876,0.0,3261.294392097803,0.9853178629182656,25.5,Model_1,grid,battery,8,mountain,1000
BTS_04494,16.266250270934982,107.710415515825,789696.2012209959,1800307.1879499045,2019.64,0.0,active,4G_remote,81.11014941020885,1163364.75,30,89.991,0,8561.46625841301,23240.077574992505,58.80958786609841,7151.914370363574,6338.115288811418,0.9705952060669508,31.7,Model_2,grid,battery;generator,28,mountain,2500
BTS_04252,16.45125027019499,107.572082183045,774642.9744518275,1820597.8596413408,19979.28,0.0,active,5G_macro,81.11014941020885,1163364.75,0,89.979866,0,1617.9646422387714,1740.2141390293375,27.29214347815423,30.8619564907118,2250.9588662372057,0.9863539282609228,23.7,Model_1,grid,battery,8,mountain,1000
BTS_01961,16.562916936832195,107.39083218382848,755132.8701722312,1832721.828468041,1142.04,0.0,active,5G_macro,81.11014941020885,1163364.75,8,89.969986,5,20749.798720622483,5459.782207386813,4.64882589227264,0.0,1127.4716747281686,0.9976755870538636,25.8,Model_1,grid,battery,8,mountain,1000
BTS_06398,16.35375027058497,107.717915515795,790369.1663990477,1810006.1233255984,17069.51,0.0,active,4G_remote,81.11014941020885,1163364.75,6,89.984085,0,2007.467409838192,15312.44920966303,60.83301874295282,2072.325593427612,3293.9025890268163,0.9695834906285236,24.7,Model_2,grid,battery;generator,28,mountain,2500
BTS_04269,16.42000027032739,107.58374884959709,775933.6101002747,1817153.9367035048,32199.53,0.0,active,4G_remote,81.11014941020885,1163364.75,16,89.97503,0,4512.045023022246,5310.94067930842,19.43881588946716,1103.084493595397,4214.917181062878,0.9902805920552664,28.3,Model_2,grid,battery;generator,28,mountain,2500
BTS_04684,16.116666938207235,107.62874884941589,781174.2045105288,1783631.9320409007,3228.45,13.451541900634766,active,4G_remote,81.11014941020885,1163364.75,120,89.97153,0,27214.09701076188,37961.50285975273,65.46445361318936,9511.579049330096,25039.622964190512,0.9672677731934052,37.6,Model_2,grid,battery;generator,28,mountain,2500
BTS_02066,16.24541693768497,107.220415517785,737324.047683119,1797369.2667593237,1205.3,0.0,active,5G_macro,81.11014941020885,1163364.75,572,89.991,0,44662.98421479552,41299.2298187661,19.265310809111757,0.0,35748.47727619889,0.9903673445954442,26.1,Model_1,grid,battery,8,mountain,1000
BTS_06357,16.097916938274984,107.387915517115,755425.0417084545,1781242.937522679,804.92,25.70136070251465,active,5G_macro,81.11014941020885,1163364.75,499,89.99749,0,45227.89457099684,45413.53468571148,110.93456562133508,83.11144463093996,42247.43628888384,0.9445327171893324,24.2,Model_1,grid,battery,8,mountain,1000
BTS_05143,16.365416937204984,107.737082182385,792400.7623760079,1811325.4017763736,16639.15,0.0,active,4G_remote,81.11014941020885,1163364.75,4,89.98875,0,1142.6753125904113,15827.340369111138,37.95713177136254,1694.6689386283222,4173.452483694219,0.9810214341143187,31.1,Model_2,grid,battery;generator,28,mountain,2500
BTS_01926,16.692916935894978,107.408748850365,756872.5231942794,1847136.11532498,6927.83,649.9887084960938,active,4G_remote,81.11014941020885,1163364.75,7,89.99195,0,29102.16584739981,15973.861414989316,43.252562107197285,389.9467751222372,10232.683446796073,0.9783737189464012,24.6,Model_2,grid,battery;generator,28,mountain,2500
