base_id,power_id,lat,lon,base_name,type,model,runtime_h,cost_vnd_24h,resource_amount
BASE_4,POWER_0030,16.4233011,107.515289,Huong Thuy Town,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_6,POWER_0031,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_7,POWER_0032,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_8,POWER_0033,16.5743603,107.508071,Quang Dien District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_2,POWER_0034,16.4626288,107.6022722,Thuan Hoa District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_6,POWER_0035,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_1,POWER_0036,16.4832781,107.5715416,Phu Xuan District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_6,POWER_0037,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_8,POWER_0038,16.5743603,107.508071,Quang Dien District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_4,POWER_0039,16.4233011,107.515289,Huong Thuy Town,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_8,POWER_0040,16.5743603,107.508071,Quang Dien District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_2,POWER_0041,16.4626288,107.6022722,Thuan Hoa District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_6,POWER_0042,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_6,POWER_0043,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_9,POWER_0044,16.2726766,107.2307293,A Luoi District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_7,POWER_0045,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_5,POWER_0046,16.5820939,107.3626442,Phong Dien Town,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_6,POWER_0047,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_6,POWER_0048,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_4,POWER_0049,16.4233011,107.515289,Huong Thuy Town,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_1,POWER_0050,16.4832781,107.5715416,Phu Xuan District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_2,POWER_0051,16.4626288,107.6022722,Thuan Hoa District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_6,POWER_0052,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_5,POWER_0053,16.5820939,107.3626442,Phong Dien Town,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_2,POWER_0054,16.4626288,107.6022722,Thuan Hoa District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_6,POWER_0055,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_6,POWER_0056,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_2,POWER_0057,16.4626288,107.6022722,Thuan Hoa District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_7,POWER_0058,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_6,POWER_0059,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_7,POWER_0060,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_2,POWER_0061,16.4626288,107.6022722,Thuan Hoa District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_1,POWER_0062,16.4832781,107.5715416,Phu Xuan District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_7,POWER_0063,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_6,POWER_0064,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_2,POWER_0065,16.4626288,107.6022722,Thuan Hoa District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_8,POWER_0066,16.5743603,107.508071,Quang Dien District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_2,POWER_0067,16.4626288,107.6022722,Thuan Hoa District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_7,POWER_0068,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_8,POWER_0069,16.5743603,107.508071,Quang Dien District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_6,POWER_0070,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_1,POWER_0071,16.4832781,107.5715416,Phu Xuan District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_7,POWER_0072,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_9,POWER_0073,16.2726766,107.2307293,A Luoi District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_7,POWER_0074,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_7,POWER_0075,16.4401105,107.7120704,Phu Vang District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_6,POWER_0076,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_6,POWER_0077,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_7,POWER_0078,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_2,POWER_0079,16.4626288,107.6022722,Thuan Hoa District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_1,POWER_0080,16.4832781,107.5715416,Phu Xuan District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_9,POWER_0081,16.2726766,107.2307293,A Luoi District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_7,POWER_0082,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_7,POWER_0083,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_8,POWER_0084,16.5743603,107.508071,Quang Dien District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_6,POWER_0085,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_3,POWER_0086,16.5254677,107.3312759,Huong Tra Town,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_7,POWER_0087,16.4401105,107.7120704,Phu Vang District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_8,POWER_0088,16.5743603,107.508071,Quang Dien District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_1,POWER_0089,16.4832781,107.5715416,Phu Xuan District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_7,POWER_0090,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_1,POWER_0091,16.4832781,107.5715416,Phu Xuan District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_6,POWER_0092,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_1,POWER_0093,16.4832781,107.5715416,Phu Xuan District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_7,POWER_0094,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_1,POWER_0095,16.4832781,107.5715416,Phu Xuan District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_7,POWER_0096,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_5,POWER_0097,16.5820939,107.3626442,Phong Dien Town,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_5,POWER_0098,16.5820939,107.3626442,Phong Dien Town,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_5,POWER_0099,16.5820939,107.3626442,Phong Dien Town,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_7,POWER_0100,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_1,POWER_0101,16.4832781,107.5715416,Phu Xuan District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_7,POWER_0102,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_4,POWER_0103,16.4233011,107.515289,Huong Thuy Town,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_8,POWER_0104,16.5743603,107.508071,Quang Dien District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_6,POWER_0105,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_5,POWER_0106,16.5820939,107.3626442,Phong Dien Town,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_6,POWER_0107,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_4,POWER_0108,16.4233011,107.515289,Huong Thuy Town,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_6,POWER_0109,16.2893818,107.832841,Phu Loc District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_1,POWER_0110,16.4832781,107.5715416,Phu Xuan District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_4,POWER_0111,16.4233011,107.515289,Huong Thuy Town,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_4,POWER_0112,16.4233011,107.515289,Huong Thuy Town,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_6,POWER_0113,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_7,POWER_0114,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_1,POWER_0115,16.4832781,107.5715416,Phu Xuan District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_6,POWER_0116,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_1,POWER_0117,16.4832781,107.5715416,Phu Xuan District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_6,POWER_0118,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_7,POWER_0119,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_3,POWER_0120,16.5254677,107.3312759,Huong Tra Town,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_1,POWER_0121,16.4832781,107.5715416,Phu Xuan District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_2,POWER_0122,16.4626288,107.6022722,Thuan Hoa District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_8,POWER_0123,16.5743603,107.508071,Quang Dien District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_8,POWER_0124,16.5743603,107.508071,Quang Dien District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_9,POWER_0125,16.2726766,107.2307293,A Luoi District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_7,POWER_0126,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_4,POWER_0127,16.4233011,107.515289,Huong Thuy Town,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_7,POWER_0128,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_4,POWER_0129,16.4233011,107.515289,Huong Thuy Town,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_8,POWER_0130,16.5743603,107.508071,Quang Dien District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_2,POWER_0131,16.4626288,107.6022722,Thuan Hoa District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_1,POWER_0132,16.4832781,107.5715416,Phu Xuan District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_9,POWER_0133,16.2726766,107.2307293,A Luoi District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_8,POWER_0134,16.5743603,107.508071,Quang Dien District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_7,POWER_0135,16.4401105,107.7120704,Phu Vang District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_8,POWER_0136,16.5743603,107.508071,Quang Dien District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_6,POWER_0137,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_3,POWER_0138,16.5254677,107.3312759,Huong Tra Town,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_6,POWER_0139,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_5,POWER_0140,16.5820939,107.3626442,Phong Dien Town,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_8,POWER_0141,16.5743603,107.508071,Quang Dien District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_6,POWER_0142,16.2893818,107.832841,Phu Loc District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_6,POWER_0143,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_5,POWER_0144,16.5820939,107.3626442,Phong Dien Town,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_4,POWER_0145,16.4233011,107.515289,Huong Thuy Town,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_8,POWER_0146,16.5743603,107.508071,Quang Dien District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_2,POWER_0147,16.4626288,107.6022722,Thuan Hoa District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_6,POWER_0148,16.2893818,107.832841,Phu Loc District,BATTERY,48V 200Ah LiFePO4 (10 kWh) rack,6.67,88163,3.6
BASE_8,POWER_0149,16.5743603,107.508071,Quang Dien District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
BASE_9,POWER_0150,16.2726766,107.2307293,A Luoi District,GENSET,KPS KP14000Q-3D-10KW,24.0,1680000,84.0
