site_id,latitude,longitude,utm_x,utm_y,pop_covered,pop_unique_covered,overlap_ratio_network,total_unique_pop_network,elevation_m,slope_deg,neighbour_weight,dist_to_school_m,dist_to_hospital_m,dist_to_road_m,dist_to_residential_m,dist_to_industrial_m,site_accessibility_score,antenna_height_m,region_type,bts_type,coverage_radius_m,power_W,flooded,status
BTS_03581,16.440416936904985,107.714582182475,789884.38207258,1819597.4166661112,2958.07,0.0,81.11014941020868,1163364.75,4,89.97153,5,9736.547962982166,9740.686977620351,2.7927544432928397,0.0,929.013616167033,0.9986036227783536,20.2,mountain,5G_macro,1000,10000,0,active
BTS_04926,16.274583604234984,108.00124884799502,820790.6371913946,1801664.7476794648,1701.96,0.0,81.11014941020868,1163364.75,5,89.983284,0,12185.61069267406,9280.122388797334,93.65554908733289,229.6779534092732,4888.06001936032,0.9531722254563336,30.1,mountain,5G_macro,1000,10000,0,active
BTS_02515,16.427083603624983,107.801248848795,799165.9077440507,1818247.268798487,6794.85,0.0,81.11014941020868,1163364.75,12,0.0,0,10546.571022955186,19111.014786614254,94.41622523556089,8289.874039592356,8383.730444213517,0.9527918873822196,37.0,rural,4G_macro,1500,5000,0,active
BTS_04177,16.482916936734984,107.677915515955,785904.0294078882,1824250.8558887185,9318.01,0.0,81.11014941020868,1163364.75,7,89.97878,0,8424.593042019593,6162.254589402806,33.43728472728597,2133.546564778576,5406.785513441654,0.983281357636357,32.3,mountain,4G_remote,2500,1200,0,active
BTS_06439,16.29208360416498,107.692082182565,787697.7576513707,1803141.568087396,1281.22,0.0,81.11014941020868,1163364.75,32,89.99138,0,8145.081765248493,19853.245185490687,16.82272131778447,6185.0196243791725,5167.438676684482,0.9915886393411076,34.4,mountain,4G_remote,2500,1200,0,active
BTS_03869,16.41458360367498,107.659582182695,784045.0201774251,1816659.093651056,35570.12,0.0,81.11014941020868,1163364.75,14,89.97503,0,8872.40358968154,6158.188895161175,55.02821041366364,674.9235527660612,3914.1315388260273,0.9724858947931682,30.2,mountain,4G_remote,2500,1200,0,active
BTS_06396,16.202916937854972,108.110415514225,832589.1756409258,1793901.9856730776,114.25,105.88446044921876,81.11014941020868,1163364.75,266,89.99802,0,24886.7937819528,5062.474293117256,22.66349615489049,14030.323545409625,15455.119256526332,0.9886682519225548,39.7,mountain,4G_remote,2500,1200,0,active
BTS_01090,16.385416937124983,107.691248849235,787471.9924237349,1813474.3917376064,2033.65,0.0,81.11014941020868,1163364.75,14,89.98499,0,5900.080652297807,10794.302802768516,57.75871511248747,1859.292361186116,0.0,0.9711206424437564,34.5,mountain,5G_macro,1000,10000,0,active
BTS_06007,16.454583603514976,107.717082182465,790130.4434364096,1821169.5973481373,1616.09,0.0,81.11014941020868,1163364.75,5,89.981995,0,11212.127532262311,9790.716582505918,118.87903742954248,256.1597131390262,212.85695321168575,0.9405604812852288,25.5,mountain,5G_macro,1000,10000,0,active
BTS_02535,16.582083603004982,107.372082183845,753105.9637990982,1834819.8523433085,3467.96,22.131637573242188,81.11014941020868,1163364.75,10,89.95974,0,23524.95463363612,8048.492214676688,32.35099910796323,0.0,219.86625809042425,0.9838245004460184,22.1,mountain,5G_macro,1000,10000,0,active
BTS_03456,16.453750270184987,107.730415515745,791556.3343753483,1821096.5244477908,1655.47,0.0,81.11014941020868,1163364.75,9,89.982346,0,10943.553009985815,11218.430247998102,29.51618063011148,1434.1977775802316,623.982901625783,0.9852419096849444,24.5,mountain,5G_macro,1000,10000,0,active
BTS_00649,16.392083603764984,107.780415515545,796992.6521149322,1814341.062067852,8237.97,,81.11014941020868,1163364.75,6,89.984085,5,6218.355533984103,18151.96580581798,4.198567697271249,5414.678919168195,8366.401812864631,0.9979007161513644,30.2,mountain,4G_remote,2500,1200,0,active
BTS_05558,16.41125027035498,107.658748849365,783960.808225312,1816288.8596935496,34886.51,0.0,81.11014941020868,1163364.75,9,89.993095,0,9021.331842062977,6410.300136587252,50.250685345747584,696.254750184952,3769.213627180554,0.9748746573271262,25.3,mountain,4G_remote,2500,1200,0,active
BTS_00500,16.53875027026165,107.3916655171585,755253.671855214,1830047.6014728115,623.6,546.2168579101562,81.11014941020868,1163364.75,10,89.981995,0,19574.30985627863,5435.0432767175225,13.361651707551395,0.0,1941.0053996609097,0.9933191741462244,25.8,mountain,5G_macro,1000,10000,0,active
BTS_06488,16.286250270854975,107.829582182015,802410.9717350473,1802694.5564281251,2607.82,,81.11014941020868,1163364.75,43,89.9981,0,5175.796575126143,27204.23271462009,79.34723907245673,9635.996959214202,8546.030202367889,0.9603263804637716,24.3,mountain,4G_remote,2500,1200,0,active
BTS_01269,16.4495836035548,107.56624884955508,774022.0894734445,1820405.418423756,14732.75,0.0,81.11014941020868,1163364.75,24,89.98727,5,1893.0344955448072,2065.6082212392225,4.03918547170407,0.0,1608.0129457090736,0.997980407264148,23.9,mountain,5G_macro,1000,10000,0,active
BTS_06397,16.434583603594987,107.575415516365,775022.5988752826,1818757.1670821293,12925.44,0.0,81.11014941020868,1163364.75,33,89.978165,0,3214.514300386754,3586.329717266637,59.45366229546722,66.99845325314347,2952.282926573735,0.9702731688522664,25.1,mountain,5G_macro,1000,10000,0,active
BTS_03493,16.530416936544984,107.507082183305,767589.6468867795,1829275.0961337315,20476.1,0.0,81.11014941020868,1163364.75,7,89.99331,0,8470.426308338821,7480.864056941225,11.78186258405154,1504.1831007868411,4196.1926299902725,0.9941090687079742,27.3,mountain,4G_remote,2500,1200,0,active
BTS_03304,16.48291693673499,107.609582182895,778604.1946351579,1824155.2182640228,14716.95,0.0,81.11014941020868,1163364.75,7,89.982346,5,1285.1853834128658,3106.686117998961,2.718362588174824,0.0,1878.573266162956,0.9986408187059126,24.8,mountain,5G_macro,1000,10000,0,active
BTS_00179,16.521250270331322,107.47916551681064,764620.9231954144,1828223.3459315528,8290.69,0.0,81.11014941020868,1163364.75,9,89.98752,0,10256.29526770629,5333.423708371905,17.532310524826375,0.0,1047.2486211448547,0.9912338447375868,26.0,mountain,5G_macro,1000,10000,0,active
BTS_05563,16.340416937304983,107.505415516645,767672.0726034123,1808238.2770664613,4869.83,58.57185363769531,81.11014941020868,1163364.75,17,89.99612,0,15589.975369218986,15778.30496818602,129.0595128847662,9665.270793176302,12618.169002834982,0.9354702435576168,25.0,mountain,4G_remote,2500,1200,0,active
BTS_00316,16.41458360367499,107.626248849495,780482.8760327253,1816612.627606716,19378.44,0.0,81.11014941020868,1163364.75,32,89.9942,5,6321.941666509839,4973.641727071497,3.381883623356216,1235.841020927981,2521.6166504970797,0.998309058188322,31.2,mountain,4G_remote,2500,1200,0,active
BTS_01417,16.43875027168476,107.61822801477132,779591.1464448425,1819277.1859149523,13118.26,0.0,81.11014941020868,1163364.75,10,89.990456,0,3741.278455881273,2428.3949674832784,9.34306630338534,0.0,57.58081188011472,0.9953284668483072,18.8,mountain,5G_macro,1000,10000,0,active
BTS_04740,16.27208360424497,107.969582181455,817407.3602172666,1801338.3819484808,7624.34,0.0,81.11014941020868,1163364.75,9,89.983284,0,8787.206257283044,12307.739319474043,5.647506409952363,1939.8176931182204,7266.726308635128,0.9971762467950238,28.6,mountain,4G_remote,2500,1200,0,active
BTS_04503,16.31708360406498,107.762915515615,795234.9937630256,1806010.971059497,2921.26,0.0,81.11014941020868,1163364.75,12,89.97153,0,1301.777263160268,21543.91976877586,86.56953134337363,1795.7035604403295,859.4234551108702,0.9567152343283132,28.1,mountain,5G_macro,1000,10000,0,active
BTS_03347,16.32958360401497,107.748748849005,793701.5312379161,1807374.5571914492,3576.61,0.0,81.11014941020868,1163364.75,6,89.979866,0,1059.0072467391994,19499.33544642126,10.34712105316594,0.0,1321.0289366757286,0.994826439473417,20.3,mountain,5G_macro,1000,10000,0,active
BTS_05348,16.28375027086498,107.366248850535,752869.2963946745,1801787.3741070507,989.32,568.8526611328125,81.11014941020868,1163364.75,81,89.99454,0,29809.34247481622,30024.142646280096,8.838878013452922,410.66805666633655,25004.26402575632,0.9955805609932736,25.7,mountain,4G_remote,2500,1200,0,active
BTS_02870,16.221250271114982,108.092082180965,830596.589342094,1795902.8066862195,6636.4,,81.11014941020868,1163364.75,10,89.981995,0,22466.87713763498,2242.020572388148,7.888022089097526,11301.67495785644,12656.461643138024,0.9960559889554512,34.3,mountain,4G_remote,2500,1200,0,active
BTS_02964,16.399583603734975,107.832915515335,802592.7216826645,1815249.199819152,16513.03,0.0,81.11014941020868,1163364.75,4,89.98883,0,7238.405875837418,23128.768988226024,21.415519887055066,9460.94342043127,9810.566147999009,0.9892922400564724,26.5,mountain,4G_remote,2500,1200,0,active
BTS_03298,16.425416937379293,107.67166551604544,785320.4955495261,1817875.5558227447,6633.12,0.0,81.11014941020868,1163364.75,3,89.979866,0,9381.44564739576,6202.940274520013,73.96121716004235,147.63570571638647,3864.78876578013,0.9630193914199788,28.8,mountain,5G_macro,1000,10000,0,active
BTS_03194,16.121250271514977,107.400415517065,756732.7334151921,1783841.406231163,981.23,0.0,81.11014941020868,1163364.75,497,89.9981,0,42320.22753164912,42505.64996568643,58.01134714101982,11.293998833895923,39343.592196328194,0.97099432642949,28.1,mountain,5G_macro,1000,10000,0,active
BTS_04035,16.169583604654974,107.725415515765,791442.7675515579,1789625.2883867489,4717.5,0.0,81.11014941020868,1163364.75,63,89.99006,5,17049.69590289575,33830.025305721785,0.8435153330680771,0.0,16222.935446038411,0.999578242333466,26.1,mountain,5G_macro,1000,10000,0,active
BTS_00013,16.516250269934975,107.715415515805,789860.4655814364,1827995.2138621523,8514.2,,81.11014941020868,1163364.75,18,89.983284,0,13147.450663600364,11470.612274911162,140.0948897822646,4624.965989084018,6934.615355713128,0.9299525551088677,33.6,mountain,4G_remote,2500,1200,0,active
BTS_06474,16.53208360320498,107.698748849205,788056.742857791,1829724.40639537,12963.77,,81.11014941020868,1163364.75,7,89.995,0,12255.907478928557,11210.509313651826,233.88925137355503,3805.312614253444,6186.384150131516,0.8830553743132225,22.9,mountain,4G_remote,2500,1200,0,active
BTS_06109,16.24875027100497,108.072915514375,828499.9555218869,1798917.6363248064,5901.33,,81.11014941020868,1163364.75,9,89.9852,0,19933.92888276435,1460.2612449435928,9.7790884918575,8165.322415102789,8986.301755951457,0.9951104557540712,29.9,mountain,4G_remote,2500,1200,0,active
BTS_04875,16.437083603584984,107.799582182135,798972.4747010921,1819352.111563232,14842.82,0.0,81.11014941020868,1163364.75,8,89.97503,5,11299.46030762672,18757.266337500663,0.0231831715348108,8632.908694709115,7948.174575996908,0.9999884084142326,31.5,mountain,4G_remote,2500,1200,0,active
BTS_04778,16.38291693713497,107.834582181995,802796.6537061237,1813406.13684407,15530.45,0.0,81.11014941020868,1163364.75,6,89.979866,0,6303.066821236683,23891.495982590764,29.553546562666497,8344.511329970404,8794.952452272624,0.9852232267186668,25.4,mountain,4G_remote,2500,1200,0,active
BTS_02224,16.262083604284978,107.919582181655,812074.90905966,1800153.9050610596,6381.99,0.0,81.11014941020868,1163364.75,9,89.969986,0,3471.228543386761,17249.21736085676,201.1210591466269,6942.219727508841,9928.803811477694,0.8994394704266866,34.9,mountain,4G_remote,2500,1200,0,active
BTS_06437,16.147083604744985,107.738748849045,792902.6575467774,1787152.966342985,1251.23,13.513071060180664,81.11014941020868,1163364.75,71,89.99424,0,18913.070203746072,36648.78892673898,7.365961007536089,0.0,18490.26307526291,0.996317019496232,23.1,mountain,5G_macro,1000,10000,0,active
BTS_04646,16.35750027057716,107.87708218174934,807379.6780400167,1810655.509837801,12257.95,,81.11014941020868,1163364.75,10,89.969986,0,1711.5064618393556,25370.27173009382,39.39330178823907,3059.90849856869,3602.804762823731,0.9803033491058804,33.0,mountain,4G_remote,2500,1200,0,active
BTS_01138,16.281250270874978,108.023748847905,823186.5227372568,1802438.5651041188,3979.06,1.4589649438858032,81.11014941020868,1163364.75,5,89.95974,0,14647.40373052989,7665.867063291343,40.04669228542582,2677.596162553392,3626.1003403035006,0.979976653857287,44.9,mountain,4G_remote,2500,1200,0,active
BTS_00339,16.132916938134983,107.334582183995,749673.640187992,1785051.9638478754,901.68,,81.11014941020868,1163364.75,586,89.99138,0,44736.49421918288,44937.4041553636,63.87939545953165,45.90819802220475,41597.81632659613,0.9680603022702342,24.3,mountain,5G_macro,1000,10000,0,active
BTS_00492,16.503750269984984,107.472915516775,763977.2423963039,1826277.7693917144,4417.33,0.0,81.11014941020868,1163364.75,9,89.981995,0,10103.128777259955,6350.950372170793,45.28578618377203,618.5515325030922,449.3507947919885,0.977357106908114,29.6,mountain,5G_macro,1000,10000,0,active
BTS_00541,16.414166938397557,107.8216655164484,801367.7679440344,1816847.2784848616,16995.05,0.0,81.11014941020868,1163364.75,11,89.98594,0,9136.734359797172,21546.452518075577,9.948032799874118,9969.300640356138,10916.11496882878,0.9950259836000628,20.0,mountain,4G_remote,2500,1200,0,active
BTS_05774,16.409583603694983,107.811248848755,800261.5009482628,1816324.2820660209,17795.45,0.0,81.11014941020868,1163364.75,10,89.98994,0,9795.902354735208,20596.024363257187,52.70294747957873,8785.986721178324,10097.375630819168,0.9736485262602106,30.2,mountain,4G_remote,2500,1200,0,active
BTS_01081,16.452083603524983,107.767915515595,795565.7630865085,1820966.4755175563,10797.53,0.0,81.11014941020868,1163364.75,6,89.981995,0,11247.22676507666,15229.786047485071,117.1338940664159,5428.873047184747,4449.135970127907,0.941433052966792,30.3,mountain,4G_remote,2500,1200,0,active
BTS_06112,16.617083602864984,107.537915516515,770761.08709747,1838911.4051381568,1095.45,0.0,81.11014941020868,1163364.75,6,89.98576,0,15821.226656797093,12639.453215330528,36.8780171389449,0.0,13003.965543245034,0.9815609914305276,25.8,mountain,5G_macro,1000,10000,0,active
BTS_06449,16.367083603864977,107.863748848545,805939.2181263387,1811696.5933608776,12924.2,,81.11014941020868,1163364.75,11,89.9852,0,2889.916697680072,27141.51388617236,35.60427449948979,4774.362189637658,5253.348784122217,0.9821978627502552,20.6,mountain,4G_remote,2500,1200,0,active
BTS_02877,16.244583604354986,107.218748851125,737146.8338876988,1797275.0948972593,1103.77,,81.11014941020868,1163364.75,580,89.98883,0,44861.91361393262,41476.64822840979,96.2759805623462,49.6808385621608,35911.48930872325,0.951862009718827,25.6,mountain,5G_macro,1000,10000,0,active
BTS_05445,16.572083603044984,107.49458218335502,766197.5147471663,1833871.368237912,16472.9,1.8565559387207031,81.11014941020868,1163364.75,5,89.98658,0,12887.747659720557,6171.243604329612,24.68166012713386,402.7511456673749,6318.782030902021,0.9876591699364332,30.8,mountain,4G_remote,2500,1200,0,active
BTS_04540,16.465416937220144,107.60833218296386,778495.6950565134,1822215.9573200396,30162.22,746.9805908203125,81.11014941020868,1163364.75,3,89.97878,0,1593.4560383217408,1957.4873135380024,53.59414084267031,63.29353031410575,2872.136582384018,0.9732029295786648,20.3,mountain,5G_macro,1000,10000,0,active
BTS_06349,16.135416938124976,107.629582182815,781236.9109509517,1785708.9747731208,1942.34,,81.11014941020868,1163364.75,144,89.99352,0,25401.604663531667,35886.47751534764,109.15707226301126,8648.511676350523,23154.283566167636,0.9454214638684943,37.8,mountain,4G_remote,2500,1200,0,active
BTS_06178,16.554583603114978,107.452915516855,761772.602764886,1831879.1999395944,3684.05,0.0,81.11014941020868,1163364.75,9,89.97153,0,14618.026248367009,1337.8321561983198,27.159098106808862,0.0,2681.5125251555583,0.9864204509465956,21.1,mountain,5G_macro,1000,10000,0,active
BTS_03469,16.40958360369498,107.656248849375,783696.0588640799,1816100.823860184,33249.16,0.0,81.11014941020868,1163364.75,22,89.99628,0,8928.541152176733,6424.657084667123,100.37424410401532,989.1652259462718,3902.52998248758,0.9498128779479924,34.3,mountain,4G_remote,2500,1200,0,active
BTS_04689,16.536250269854982,107.506248849975,767492.610297482,1829919.7920710803,18628.15,0.0,81.11014941020868,1163364.75,6,89.99252,0,8998.955598226386,7214.166553236118,26.795737722194684,1611.1707549995472,4361.276163963113,0.9866021311389026,31.0,mountain,4G_remote,2500,1200,0,active
BTS_02333,16.712083602484984,107.362082183885,751868.3725892971,1849198.3032133544,885.63,11.049812316894531,81.11014941020868,1163364.75,5,89.98763,0,33796.58465195626,19612.647162383942,36.37109414778914,79.25929307462519,11731.03467524026,0.9818144529261056,28.8,mountain,5G_macro,1000,10000,0,active
BTS_05744,16.086250271654986,107.364582183875,752942.7436033639,1779922.7554314448,1371.32,5.052450180053711,81.11014941020868,1163364.75,620,89.99734,0,47505.16371241431,47694.74579923367,38.11944970282322,21.28991196873742,44480.394144263184,0.9809402751485884,29.1,mountain,5G_macro,1000,10000,0,active
BTS_01101,16.42333360364724,107.8179155153209,800952.853598628,1817856.7435468212,16625.21,0.0,81.11014941020868,1163364.75,12,89.9852,0,10075.456666933464,20938.824892161447,24.12568458234796,9822.104640696552,10208.870436534413,0.987937157708826,19.6,mountain,4G_remote,2500,1200,0,active
BTS_00273,16.527083603224984,107.380415517145,754067.6942410574,1828741.8459221495,909.45,874.209716796875,81.11014941020868,1163364.75,7,89.98576,0,20308.17037421569,7000.556076237745,18.8934360472566,8.282960891456987,1165.4059543397937,0.9905532819763716,25.2,mountain,5G_macro,1000,10000,0,active
BTS_02739,16.38458360379498,107.872082181845,806802.7024766204,1813647.0516371047,9738.27,,81.11014941020868,1163364.75,11,89.98908,0,2899.8606242390115,27497.9032941964,18.465921896921,5201.475057806456,5420.253522733665,0.9907670390515396,31.9,mountain,4G_remote,2500,1200,0,active
BTS_06440,16.660416936024983,107.445415516885,760828.7874188877,1843585.792211739,1408.13,879.1022338867188,81.11014941020868,1163364.75,2,89.96817,0,23949.876272206657,12018.437325171824,101.78074543633264,110.16453544072922,8579.150920298704,0.9491096272818336,24.2,mountain,5G_macro,1000,10000,0,active
BTS_06357,16.097916938274984,107.387915517115,755425.0417084545,1781242.937522679,804.92,25.70136070251465,81.11014941020868,1163364.75,499,89.99749,0,45227.89457099684,45413.53468571153,110.93456562133508,83.11144463093996,42247.43628888384,0.9445327171893324,24.2,mountain,5G_macro,1000,10000,0,active
BTS_02984,16.383750270464983,107.566248849735,774114.414322774,1813116.833900304,4522.91,0.0,81.11014941020868,1163364.75,11,89.95974,0,8834.267723996021,9239.885641261351,83.11631126203764,5104.154139902027,7143.92959798351,0.9584418443689812,21.7,mountain,4G_remote,2500,1200,0,active
BTS_06411,16.48791693671498,107.492082183365,766045.9816387441,1824550.105171775,12766.25,0.0,81.11014941020868,1163364.75,8,89.96817,0,7695.878345475044,8482.703368870802,73.50200118022187,1081.0414064233669,1769.2466170060395,0.9632489994098892,27.9,mountain,4G_remote,2500,1200,0,active
BTS_02635,16.234166937737548,107.20541551778702,735733.5429860497,1796106.7045367074,313.87,249.3957061767578,81.11014941020868,1163364.75,567,89.9951,0,46691.2660951462,43240.5677130784,20.604899154771456,0.0,37594.18372539577,0.9896975504226144,30.3,mountain,5G_macro,1000,10000,0,active
BTS_05288,16.360416937224976,107.497915516675,766843.169404116,1810442.565879866,4976.08,0.0,81.11014941020868,1163364.75,31,89.99635,0,14086.47033047066,14286.786833202656,28.64818974339857,9394.002727856045,10974.126805003105,0.9856759051283008,24.3,mountain,4G_remote,2500,1200,0,active
BTS_02413,16.48708360338498,107.402082183725,756434.1493446965,1824341.257941432,1173.81,42.27185821533203,81.11014941020868,1163364.75,15,89.99272,5,17242.670390223826,8281.588742221451,1.8459396950842168,182.75395213101,5874.649247617335,0.999077030152458,23.9,mountain,5G_macro,1000,10000,0,active
BTS_03796,16.69458360297511,107.35999885061764,751669.0691921986,1847258.4058067612,1587.2,5.217083930969238,81.11014941020868,1163364.75,3,89.978165,0,32471.99813108893,17986.21528888259,22.71749163598737,0.0,9838.424518977174,0.9886412541820064,24.6,mountain,5G_macro,1000,10000,0,active
BTS_02625,16.103750271584982,107.639582182775,782351.942871761,1782216.663308691,2818.96,,81.11014941020868,1163364.75,132,89.99721,0,27906.72042735395,39418.73500228307,59.77027158750955,9329.31362629893,25861.955153435363,0.9701148642062452,33.8,mountain,4G_remote,2500,1200,0,active
BTS_03260,16.71541693580497,107.408748850365,756842.406490204,1849626.9554382733,1195.61,466.4693298339844,81.11014941020868,1163364.75,11,89.95974,0,31186.809374594384,18415.159598745613,7.70452472828292,649.3748727283656,12588.5706860615,0.9961477376358584,42.8,mountain,4G_remote,2500,1200,0,active
BTS_02040,16.35041693726498,107.495415516685,766589.5466507219,1809332.213611347,4877.57,0.0,81.11014941020868,1163364.75,24,89.96817,0,15158.896576716828,15356.87435889272,48.56042171056227,8808.54496646786,12070.502786106346,0.9757197891447188,35.6,mountain,4G_remote,2500,1200,0,active
BTS_00031,16.432268793878386,107.78472107611071,797391.7071114187,1818797.053431038,17768.89,0.0,81.11014941020868,1163364.75,7,89.95974,5,9971.379867271256,17269.6215461331,4.236937662624366,7002.601119858314,6526.485571234471,0.9978815311686878,33.2,mountain,4G_remote,2500,1200,0,active
BTS_04994,16.294583604154983,107.354582183915,751608.1095316241,1802972.17137008,492.21,,81.11014941020868,1163364.75,84,89.909966,0,29965.779273543794,29942.105162522315,13.89193682045033,0.0,24502.264651146925,0.9930540315897748,24.4,mountain,5G_macro,1000,10000,0,active
BTS_03399,16.491250270034982,107.49958218333502,766842.5113922243,1824929.043872653,21103.62,0.0,81.11014941020868,1163364.75,8,89.9852,0,6985.567615733819,7695.318686749712,71.36884412884469,903.3582434525111,2527.6721361002387,0.9643155779355777,28.4,mountain,4G_remote,2500,1200,0,active
BTS_02086,16.378750270898372,107.85416551531996,804896.5390017106,1812974.0792937009,14926.69,0.0,81.11014941020868,1163364.75,10,89.95974,0,4173.110124949329,26014.29974792712,24.59687739478634,6287.551443799118,6699.799895077318,0.9877015613026068,32.7,mountain,4G_remote,2500,1200,0,active
BTS_06429,16.575416936364988,107.501248849995,766904.698730717,1834249.255849226,4097.55,0.0,81.11014941020868,1163364.75,7,89.982346,0,12811.933080588802,6968.841014725367,16.313647598928807,0.0,6991.841985326779,0.9918431762005356,24.0,mountain,5G_macro,1000,10000,0,active
BTS_05113,16.44291693689498,107.714582182475,789880.6672387305,1819874.226812921,3037.7,0.0,81.11014941020868,1163364.75,8,89.99338,0,10005.367488153068,9684.353763587456,9.387966233942636,0.0,742.1382975935851,0.9953060168830288,15.6,mountain,5G_macro,1000,10000,0,active
BTS_06314,16.376250270494978,107.46041551682502,762813.8539627821,1812146.5077079851,794.22,129.0276641845703,81.11014941020868,1163364.75,38,89.990234,0,15485.246044120708,15701.603726363404,59.00638079341154,6947.469179437999,12139.0686603567,0.9704968096032942,18.9,mountain,4G_remote,2500,1200,0,active
BTS_04431,16.479583603414987,107.624582182835,780211.3679663357,1823806.9410013803,44489.75,3.411210060119629,81.11014941020868,1163364.75,3,89.990906,0,2716.5708113898663,2226.714599821037,32.560225137013056,432.6204023352655,3480.591959240888,0.9837198874314936,24.3,mountain,4G_remote,2500,1200,0,active
BTS_05257,16.297916937474984,107.211248851155,736281.0048686792,1803169.7341190907,800.03,563.0416259765625,81.11014941020868,1163364.75,589,89.98456,0,42471.42934455404,37307.547650923545,8.713619005834667,0.0,31166.326165258342,0.9956431904970828,22.8,mountain,5G_macro,1000,10000,0,active
BTS_03334,16.431250270274987,107.572915516375,774760.1692134659,1818384.725054388,59810.88,0.0,81.11014941020868,1163364.75,17,89.98939,0,3665.476877637816,3949.282359563496,12.822552907240064,392.9447999623255,2914.2881123893576,0.99358872354638,26.0,mountain,4G_remote,2500,1200,0,active
BTS_03926,16.35375027058499,107.482082183405,765159.8628093615,1809683.7956118484,3381.44,0.2954260110855102,81.11014941020868,1163364.75,36,89.98499,0,15676.32377040957,15881.640203670231,70.26123313575846,7551.099912993054,12508.91377030084,0.9648693834321208,26.1,mountain,4G_remote,2500,1200,0,active
BTS_03701,16.25833360430708,107.92208218156816,812348.2667309726,1799742.4535022357,6327.87,,81.11014941020868,1163364.75,8,89.9964,0,3821.738751898368,16921.973727110726,14.790295136175212,6993.7325009809065,10369.756514290086,0.9926048524319124,21.7,mountain,4G_remote,2500,1200,0,active
BTS_01390,16.307083604104978,107.765415515605,795517.3328271017,1804907.3273044247,11270.48,0.0,81.11014941020868,1163364.75,8,89.979866,0,2435.6606040529937,22543.722962343272,9.902708166037256,2815.066587972968,1333.7442596932774,0.9950486459169814,39.8,mountain,4G_remote,2500,1200,0,active
BTS_01925,16.63270860304536,107.508957183838,767648.2670995602,1840602.2954238984,1181.42,0.0,81.11014941020868,1163364.75,6,89.93634,0,18260.39713365148,11534.991116039842,15.307301573723786,0.0,12695.672919801193,0.992346349213138,21.1,mountain,5G_macro,1000,10000,0,active
